Wood Buffalo Environmental Association - Continuous Ambient Air Quality Monitoring Program
For authorized use only
AMS29, L1, 5Mn
Exported On:,2022/08/24,11:07
Date Range:,2022/5/23,0:00,to,2022/8/23,23:00

Date/Time, SO2 (ppb), H2S (ppb), THC (ppm), NO (ppb), NO2 (ppb), NOx (ppb), PM2.5 (ug/m3), Wind Speed @ 10m (km/h), Wind Dir @ 10m (deg.), Relative Humidity (%), Temp @ 2m (deg. C)
2022-05-24 21:30:00,0.08,-0.04,1.95,-0.03,0.05,0.02,2.65,2.08,298.5,73,6.22
2022-05-24 21:35:00,0.08,0.14,1.96,-0.04,0.05,0.01,2.74,1.15,347.8,74,6.2
2022-05-24 21:40:00,0.16,0.04,1.95,-0.02,0.01,-0.01,2.75,0.73,95.5,75,6.09
2022-05-24 21:45:00,0.05,0.04,2,-0.03,0.06,0.02,2.73,0.27,135.6,75,5.9
2022-05-24 21:50:00,0.04,0,2,-0.05,0.06,0.01,2.71,0.92,236.4,77,5.73
2022-05-24 21:55:00,0.14,-0.04,1.97,-0.05,0.03,-0.02,2.76,0.47,193,77,5.54
2022-05-24 22:00:00,0.23,0.1,2.05,-0.02,0.04,0.02,2.81,1,221.2,79,5.26
2022-05-24 22:05:00,0.15,-0.03,2.08,-0.04,0.03,-0.01,2.91,2.72,257.9,78,5.09
2022-05-24 22:10:00,0.03,0.13,2.02,-0.05,0.06,0.01,2.93,2.53,247.3,79,4.87
2022-05-24 22:15:00,-0.05,-0.14,1.95,-0.03,0.02,-0.01,2.76,2.42,125.4,80,4.66
2022-05-24 22:20:00,0.07,-0.02,2.02,-0.02,0,-0.01,2.6,1.59,87.9,81,4.3
2022-05-24 22:25:00,0.11,-0.02,2.04,-0.03,-0.01,-0.03,2.62,1.05,98.6,81,4.03
2022-05-24 22:30:00,0.13,0.06,1.96,-0.04,0.01,-0.03,2.65,0,0,82,3.78
2022-05-24 22:35:00,0.18,-0.01,1.96,-0.02,0.03,0,2.62,0.79,232.8,83,3.72
2022-05-24 22:40:00,-0.09,-0.13,2.03,-0.03,0.01,-0.01,2.63,2.61,214.3,83,3.95
2022-05-24 22:45:00,0.05,-0.19,2.04,-0.01,-0.02,-0.03,2.57,2.05,149.1,83,3.91
2022-05-24 22:50:00,0.01,-0.11,2.04,-0.03,0.01,-0.03,2.62,1.73,136.1,83,3.89
2022-05-24 22:55:00,0.14,0.05,2,0.01,0.01,0.02,2.73,1.48,97.4,84,3.79
2022-05-24 23:00:00,0.11,-0.02,2,-0.02,0.02,0,2.7,2.59,273.6,84,3.77
2022-05-24 23:05:00,0.07,0.09,2.03,-0.02,0.03,0.01,2.71,2.99,350.5,83,3.92
2022-05-24 23:10:00,0.02,0.15,2.01,-0.03,0.02,-0.01,2.77,3.27,315.4,83,3.91
2022-05-24 23:15:00,-0.01,0.06,1.94,-0.05,0.23,0.19,3.12,2.42,298.4,83,3.76
2022-05-24 23:20:00,0.13,0.04,1.93,0.02,1.07,1.09,4.13,2.17,261.5,82,3.88
2022-05-24 23:25:00,-0.01,0.02,1.99,-0.01,0.36,0.35,4.99,1.76,144.4,83,3.75
2022-05-24 23:30:00,-0.06,0.26,2.01,0.02,0.07,0.09,4.48,2.15,199.9,83,3.53
2022-05-24 23:35:00,0.17,0.08,2,-0.05,0.4,0.36,3.64,2.54,269.3,85,3.42
2022-05-24 23:40:00,0.01,0.03,2.02,-0.05,0.27,0.22,3.49,2.13,292.8,84,3.5
2022-05-24 23:45:00,0.12,0.06,1.93,-0.04,0.25,0.21,3.8,2.26,223.7,85,3.61
2022-05-24 23:50:00,0.16,0.17,1.98,-0.04,0.12,0.09,4.21,0.85,200,85,3.7
2022-05-24 23:55:00,0.01,0.14,1.99,-0.02,0.17,0.15,4.67,0.02,235.2,86,3.7
2022-05-25 00:00:00,0.11,0.13,2.04,-0.04,0.26,0.22,4.6,0.04,316.3,86,3.7
2022-05-25 00:05:00,0.12,0.04,2.05,0.01,0.31,0.31,6.8,1.97,296.2,85,3.7
2022-05-25 00:10:00,-0.11,-0.05,2.02,Z/S,Z/S,Z/S,14.25,1.63,273.7,85,3.76
2022-05-25 00:15:00,0.01,0.16,2.07,Z/S,Z/S,Z/S,19.42,0.04,273.7,84,3.8
2022-05-25 00:20:00,0.18,0.03,2.05,Z/S,Z/S,Z/S,15.53,1.18,246.7,85,3.8
2022-05-25 00:25:00,0.04,-0.01,2.04,Z/S,Z/S,Z/S,10.12,0.54,304,87,3.8
2022-05-25 00:30:00,0,0.1,2.04,Z/S,Z/S,Z/S,9.74,0.9,227.3,87,3.8
2022-05-25 00:35:00,0.01,0.04,2.05,Z/S,Z/S,Z/S,10.32,0.4,226.7,86,3.8
2022-05-25 00:40:00,0.12,0.01,2.01,Z/S,Z/S,Z/S,10.56,0,0,86,3.84
2022-05-25 00:45:00,-0.07,-0.01,2.05,Z/S,Z/S,Z/S,8.9,0,0,85,3.8
2022-05-25 00:50:00,-0.05,0.07,2.05,Z/S,Z/S,Z/S,6.47,0,0,85,3.8
2022-05-25 00:55:00,-0.07,-0.05,2.04,Z/S,Z/S,Z/S,5.34,0,0,85,3.84
2022-05-25 01:00:00,0.04,-0.15,1.99,Z/S,Z/S,Z/S,5.25,1.18,81.7,85,3.73
2022-05-25 01:05:00,0.18,-0.04,1.98,-0.02,0.2,0.19,4.84,0,0,85,3.6
2022-05-25 01:10:00,0.08,0,2.04,0.03,0.14,0.17,4.23,0.17,8.08,87,3.62
2022-05-25 01:15:00,0.13,-0.14,2.02,0.03,0.27,0.3,4.29,0,0,87,3.7
2022-05-25 01:20:00,-0.02,0.04,2.02,0,0.34,0.34,5.74,1.12,330,87,3.7
2022-05-25 01:25:00,0.13,0.02,2.01,0.02,0.21,0.23,6.76,0.73,336.4,87,3.71
2022-05-25 01:30:00,0.1,-0.16,2.01,0.08,0.26,0.34,6.61,0,0,87,3.8
2022-05-25 01:35:00,0.16,0.08,2.01,0,0.27,0.27,6.7,0.2,253.6,86,3.68
2022-05-25 01:40:00,0.21,-0.01,2.05,0.01,0.15,0.16,6.59,1,97,86,3.6
2022-05-25 01:45:00,0.3,0.15,2.07,-0.01,0.17,0.16,5.76,0,0,86,3.6
2022-05-25 01:50:00,0.12,0.2,2.11,0.03,0.14,0.17,5,0,0,86,3.6
2022-05-25 01:55:00,-0.01,-0.05,2.03,0.01,0.19,0.2,4.94,0,0,88,3.46
2022-05-25 02:00:00,0.06,0.05,Z/S,0,0.19,0.2,5.42,0,0,88,3.31
2022-05-25 02:05:00,Z/S,-0.01,Z/S,-0.05,0.16,0.12,5.67,0,0,88,3.14
2022-05-25 02:10:00,Z/S,0.11,Z/S,-0.01,0.17,0.16,5.56,0,0,88,2.92
2022-05-25 02:15:00,Z/S,0.05,Z/S,-0.01,0.2,0.18,5.69,0,0,88,2.67
2022-05-25 02:20:00,Z/S,-0.04,Z/S,0.03,0.17,0.2,5.63,0,0,88,2.4
2022-05-25 02:25:00,Z/S,-0.04,Z/S,-0.02,0.08,0.06,5.12,0,0,90,2.2
2022-05-25 02:30:00,Z/S,0.25,Z/S,-0.03,0,-0.03,4.56,1.91,244.7,91,2.04
2022-05-25 02:35:00,Z/S,0.05,Z/S,-0.05,0.05,0,3.82,2.86,265,90,1.89
2022-05-25 02:40:00,Z/S,0.09,Z/S,-0.02,0.01,-0.01,3.27,3.06,248.5,90,1.9
2022-05-25 02:45:00,Z/S,0.09,Z/S,-0.02,-0.03,-0.05,3.06,3.37,246.2,90,1.92
2022-05-25 02:50:00,Z/S,0.04,Z/S,-0.03,-0.04,-0.08,2.98,1.86,182.8,90,1.89
2022-05-25 02:55:00,Z/S,0.06,Z/S,-0.01,-0.03,-0.04,3.04,1.53,119.6,90,1.65
2022-05-25 03:00:00,Z/S,Z/S,Z/S,-0.04,0.02,-0.02,3.25,0,0,89,1.29
2022-05-25 03:05:00,0.03,Z/S,2.04,-0.01,-0.01,-0.02,3.44,0.29,247.7,90,1.04
2022-05-25 03:10:00,0.13,Z/S,2.06,-0.01,-0.03,-0.04,3.51,2.7,240.5,91,0.94
2022-05-25 03:15:00,-0.03,Z/S,2.04,-0.03,-0.03,-0.06,3.95,3.46,245.1,92,0.97
2022-05-25 03:20:00,0.02,Z/S,2.01,-0.01,-0.06,-0.07,3.96,1.9,238.1,91,0.88
2022-05-25 03:25:00,-0.15,Z/S,1.94,-0.03,-0.05,-0.08,3.37,1.42,242.6,90,0.8
2022-05-25 03:30:00,-0.11,Z/S,1.89,-0.04,-0.03,-0.07,3.04,3.03,244.8,91,0.72
2022-05-25 03:35:00,-0.08,Z/S,1.95,-0.04,0.01,-0.03,3.18,2.87,246.6,92,0.62
2022-05-25 03:40:00,0.04,Z/S,2.04,-0.03,-0.04,-0.07,3.36,1.77,168.7,91,0.43
2022-05-25 03:45:00,0.03,Z/S,2.03,-0.04,0.02,-0.02,3.31,1.99,226.2,91,0.3
2022-05-25 03:50:00,0.12,Z/S,2.04,-0.03,-0.01,-0.04,3.33,1.1,235.3,92,0.23
2022-05-25 03:55:00,0.2,Z/S,2.04,-0.01,-0.02,-0.03,3.36,1.36,227.5,93,0.29
2022-05-25 04:00:00,0.18,Z/S,1.97,-0.01,0.1,0.09,3.55,1.01,250,94,0.37
2022-05-25 04:05:00,0.11,0.21,1.99,0.01,0,0.01,3.93,0,0,93,0.32
2022-05-25 04:10:00,-0.08,0.34,2.03,-0.02,-0.03,-0.05,3.7,0,0,93,0.29
2022-05-25 04:15:00,-0.08,0.38,2.02,0.01,-0.06,-0.05,3.06,0,0,94,0.38
2022-05-25 04:20:00,0.15,0.41,1.99,0.02,-0.05,-0.03,2.78,0,0,94,0.62
2022-05-25 04:25:00,0.16,0.03,1.95,-0.01,-0.03,-0.04,2.85,1.81,291.4,94,0.82
2022-05-25 04:30:00,0.25,0.21,2,-0.03,-0.01,-0.04,3.12,1.05,300.7,94,1.03
2022-05-25 04:35:00,0.23,0.3,1.99,-0.01,0.03,0.02,3.38,0,0,94,1.29
2022-05-25 04:40:00,0.26,0.2,1.98,0,-0.05,-0.04,3.45,0,0,93,1.4
2022-05-25 04:45:00,0.13,0.13,1.97,0.05,-0.02,0.03,3.44,0.74,277.7,92,1.46
2022-05-25 04:50:00,0.18,0.18,1.99,-0.02,0.03,0.01,3.35,1.49,284.3,92,1.5
2022-05-25 04:55:00,0.3,0.06,1.96,-0.01,0.03,0.02,3.88,0.99,261,91,1.6
2022-05-25 05:00:00,0.09,0.17,2.05,-0.01,-0.06,-0.07,4.19,0.71,156.8,89,1.6
2022-05-25 05:05:00,0.06,0.24,2,-0.03,0.02,-0.01,3.72,0,0,88,1.6
2022-05-25 05:10:00,0.14,0.11,2.02,-0.03,-0.05,-0.07,3.23,0.01,264,89,1.63
2022-05-25 05:15:00,0.05,0.08,2.04,0.03,0.04,0.07,3.35,0.65,266.3,91,1.75
2022-05-25 05:20:00,0.25,0.06,2.04,0.06,0.01,0.07,3.56,0,0,91,1.91
2022-05-25 05:25:00,0.08,0.23,2.07,-0.02,0,-0.02,3.73,0,0,90,2
2022-05-25 05:30:00,0.23,0.27,2.12,-0.01,-0.04,-0.05,3.51,1.29,94.8,89,1.96
2022-05-25 05:35:00,0.07,0.4,2.08,0.01,-0.05,-0.04,3.15,1.39,95.8,89,2.01
2022-05-25 05:40:00,0.26,0.16,2.05,0,-0.02,-0.02,3.05,0,0,89,2.18
2022-05-25 05:45:00,0.11,0.17,2.06,0,0,0,3.12,0.16,32.52,89,2.42
2022-05-25 05:50:00,0.29,0.27,2.05,0,-0.04,-0.04,3.08,1.85,73.22,88,2.54
2022-05-25 05:55:00,0.19,0.04,2.01,0.01,0,0.01,3.05,0.76,90.6,87,2.68
